step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
237,94900,948,0.025680607586534735,0.75,0.75,,,,,
238,95320,952,0.029735639702898182,0.25,0.25,,,,,
239,95772,956,0.03782106509947141,0.25,0.25,,,,,
240,96192,960,0.022023844016019808,0.5,0.5,,,,,
241,97092,964,0.013146811090546263,0.25,0.25,0.022680159098587345,0.5,0.5,,
242,97512,968,0.03324553122830821,0.25,0.25,,,,,
243,97996,972,0.031513609499471386,0.25,0.25,,,,,
244,98384,976,0.028774240371695323,0.5,0.5,,,,,
245,98804,980,0.027970585405103943,0.25,0.25,,,,,
246,99160,984,0.03181959846340083,0.25,0.25,,,,,
247,99612,988,0.029079021913898617,0.0,0.0,,,,,
248,100032,992,0.02680565974008508,0.5,0.5,,,,,
249,100452,996,0.031909608854134956,0.5,0.5,0.03151975653700901,0.0,0.0,,
250,100904,1000,0.023206114459524897,0.25,0.25,,,,,
251,101292,1004,0.030014737916138286,1.0,1.0,,,,,
252,101712,1008,0.028242426946648476,0.25,0.25,,,,,
253,102164,1012,0.03055044934262891,0.5,0.5,,,,,
254,102360,1016,0.0441920748368898,0.5,0.5,,,,,
255,102684,1020,0.040059044493897536,0.0,0.0,,,,,
256,103104,1024,0.028993850872842144,0.0,0.0,,,,,
257,103492,1028,0.03226631452720388,0.25,0.25,0.03331747646906339,0.0,0.0,,
258,103784,1032,0.040254919850521625,0.0,0.0,,,,,
259,104140,1036,0.0315378387967675,0.5,0.5,,,,,
260,104560,1040,0.028040162323250902,0.25,0.25,,,,,
261,104980,1044,0.0375297035043141,0.25,0.25,,,,,
262,105368,1048,0.03091162704038557,0.0,0.0,,,,,
263,105852,1052,0.021812657628915832,0.5,0.5,,,,,
264,106272,1056,0.027874320529305736,0.5,0.5,,,,,
265,106692,1060,0.0255229386991851,0.25,0.25,0.02335625662201112,0.75,0.75,,
